,GFP,RFP
0,11803.0,1049.0
0,77868.0,5829.0
0,21155.0,5829.0
0,27499.0,1849.0
0,25624.0,3715.0
0,24230.0,3715.0
0,9659.0,3715.0
0,16409.0,3715.0
0,33104.0,3483.0
0,13641.0,1797.0
0,16035.0,1466.0
0,17173.0,1550.0
0,16313.0,1550.0
0,10848.0,1550.0
0,27747.0,3678.0
0,14650.0,1298.0
0,18441.0,1298.0
0,28141.0,1505.0
0,18712.0,1505.0
0,18269.0,2295.0
0,11262.0,2295.0
0,24606.0,3130.0
0,18593.0,1628.0
0,23731.0,1628.0
0,24524.0,1520.0
0,26636.0,1520.0
0,18925.0,1520.0
0,10583.0,2284.0
0,29203.0,2284.0
0,15995.0,1923.0
0,19608.0,2211.0
0,16714.0,1616.0
0,44446.0,1797.0
0,22415.0,2815.0
0,11603.0,2815.0
0,11728.0,1108.0
0,20830.0,2436.0
0,18222.0,2436.0
0,17256.0,2436.0
0,18355.0,2436.0
0,13023.0,1305.0
0,17742.0,1561.0
0,11547.0,1351.0
0,22287.0,1351.0
0,15134.0,1471.0
0,9805.0,1471.0
0,16479.0,1036.0
0,30974.0,2937.0
0,18114.0,2703.0
0,65296.0,13035.0
0,20601.0,1702.0
0,19707.0,785.0
0,28480.0,3871.0
0,17380.0,1927.0
0,21872.0,2753.0
0,26096.0,2753.0
0,8282.0,823.0
0,9580.0,823.0
0,23587.0,823.0
0,10317.0,2753.0
0,26915.0,2516.0
0,44032.0,1598.0
0,21765.0,1420.0
0,17604.0,1252.0
0,13646.0,1252.0
0,27853.0,1252.0
0,11143.0,1642.0
0,29829.0,2274.0
0,22699.0,2686.0
0,23461.0,2942.0
0,53262.0,2942.0
0,38012.0,3952.0
0,21069.0,3952.0
0,23937.0,2005.0
0,14964.0,2420.0
0,19760.0,1842.0
0,13654.0,1954.0
0,17748.0,1283.0
0,9306.0,1390.0
0,13387.0,855.0
0,15554.0,855.0
0,16608.0,2186.0
0,9618.0,1774.0
0,18094.0,2807.0
0,15538.0,1229.0
0,16117.0,1324.0
0,13365.0,2545.0
0,13013.0,1269.0
0,19180.0,1200.0
0,22708.0,1200.0
0,63837.0,5872.0
0,21667.0,3005.0
0,8897.0,775.0
0,10219.0,2088.0
0,40782.0,2088.0
0,29695.0,2088.0
0,16550.0,1105.0
0,14595.0,2322.0
0,27718.0,1386.0
0,12507.0,1247.0
0,11499.0,1247.0
0,28449.0,1517.0
0,9927.0,1560.0
0,9956.0,1560.0
0,9767.0,1560.0
0,30409.0,1560.0
0,14116.0,1667.0
0,17389.0,1449.0
0,19777.0,3716.0
0,24125.0,2352.0
0,35673.0,2352.0
0,11348.0,1209.0
0,37263.0,2328.0
0,18730.0,1311.0
0,12368.0,2268.0
0,7700.0,2070.0
0,14443.0,2483.0
0,13572.0,2070.0
0,29758.0,3121.0
0,10863.0,2070.0
0,62210.0,1389.0
0,8887.0,831.0
0,42559.0,4601.0
0,11668.0,1154.0
0,18632.0,920.0
0,15547.0,1624.0
0,15451.0,1624.0
0,6737.0,1624.0
